eventLabel,worlds,participants,years,places
Apocalypse_2019_EvaWorld,EvaWorld,,2019,Winden
Apocalypse_2020_AdamWorld,AdamWorld,,2020,Winden
ErikObendorfDisappearance_2019,AdamWorld,"Erik, Helge, Noah",2019,DopplerBunker
FinalDinner_2019,OriginWorld,"Hannah, Katharina, Peter, Regina",2019,Winden
JonasMeetsAdam_1921,AdamWorld,"Adam, Jonas_2019",1921,SicMundusHeadquarters
JonasMeetsMartha_1986,"AdamWorld, EvaWorld","Jonas_2019, Martha_2019_AdamWorld",1986,InterworldSpace
JonasMeetsMichael_2019,AdamWorld,"Jonas_2019, Michael_2019",2019,Winden
MadsNielsenDisappearance_1986,AdamWorld,"Helge, Mads, Noah",1986,DopplerBunker
MikkelDisappearance_2019,AdamWorld,Mikkel_2019,2019,WindenCave
YasinFrieseDisappearance_2019,AdamWorld,"Helge, Noah, Yasin",2019,DopplerBunker
