personName,parents,children,siblings,spouseName,adoptiveParentName,adoptiveChildName,relationships,families
Agnes Nielsen,"Bartosz Tiedemann, Silja Tiedemann",Tronte Nielsen,Hanno Tauber,The Unknown,,,,NielsenFamily
Aleksander Tiedemann,,Bartosz Tiedemann,,Regina Tiedemann,,,,TiedemannFamily
Bartosz Tiedemann,"Aleksander Tiedemann, Regina Tiedemann","Agnes Nielsen, Hanno Tauber",,Silja Tiedemann,,,,TiedemannFamily
Charlotte Doppler,"Hanno Tauber, Elisabeth Doppler","Elisabeth Doppler, Franziska Doppler",,Peter Doppler,H. G. Tannhaus,,,DopplerFamily
Claudia Tiedemann,Egon Tiedemann,Regina Tiedemann,,,,,,TiedemannFamily
Egon Tiedemann,,"Silja Tiedemann, Claudia Tiedemann",,,,,Hannah Kahnwald,TiedemannFamily
Elisabeth Doppler,"Charlotte Doppler, Peter Doppler",Charlotte Doppler,Franziska Doppler,Hanno Tauber,,,,DopplerFamily
Erik Obendorf,,,,,,,,
Franziska Doppler,"Charlotte Doppler, Peter Doppler",,Elisabeth Doppler,,,,,DopplerFamily
H. G. Tannhaus,,,,,,Charlotte Doppler,,
Hannah Kahnwald,,"Jonas Kahnwald, Silja Tiedemann",,Mikkel Nielsen / Michael Kahnwald,,,"Egon Tiedemann, Ulrich Nielsen",KahnwaldFamily
Hanno Tauber,"Bartosz Tiedemann, Silja Tiedemann",Charlotte Doppler,Agnes Nielsen,Elisabeth Doppler,,,,
Helge Doppler,,Peter Doppler,,,,,,DopplerFamily
Ines Kahnwald,,,,,,Mikkel Nielsen / Michael Kahnwald,,KahnwaldFamily
Jonas Kahnwald,"Hannah Kahnwald, Mikkel Nielsen / Michael Kahnwald",The Unknown,,,,,Martha Nielsen,KahnwaldFamily
Katharina Nielsen,,"Mikkel Nielsen / Michael Kahnwald, Magnus Nielsen, Martha Nielsen",,Ulrich Nielsen,,,,NielsenFamily
Mads Nielsen,Tronte Nielsen,,Ulrich Nielsen,,,,,NielsenFamily
Magnus Nielsen,"Katharina Nielsen, Ulrich Nielsen",,"Mikkel Nielsen / Michael Kahnwald, Martha Nielsen",,,,,NielsenFamily
Martha Nielsen,,The Unknown,,,,,Jonas Kahnwald,NielsenFamily
Martha Nielsen,"Katharina Nielsen, Ulrich Nielsen",,"Mikkel Nielsen / Michael Kahnwald, Magnus Nielsen",,,,,NielsenFamily
Mikkel Nielsen / Michael Kahnwald,"Katharina Nielsen, Ulrich Nielsen",Jonas Kahnwald,"Magnus Nielsen, Martha Nielsen",Hannah Kahnwald,Ines Kahnwald,,,"KahnwaldFamily, NielsenFamily"
Peter Doppler,Helge Doppler,"Elisabeth Doppler, Franziska Doppler",,Charlotte Doppler,,,,DopplerFamily
Regina Tiedemann,Claudia Tiedemann,Bartosz Tiedemann,,Aleksander Tiedemann,,,,TiedemannFamily
Silja Tiedemann,"Egon Tiedemann, Hannah Kahnwald","Agnes Nielsen, Hanno Tauber",,Bartosz Tiedemann,,,,TiedemannFamily
The Unknown,"Jonas Kahnwald, Martha Nielsen",Tronte Nielsen,,Agnes Nielsen,,,,
Tronte Nielsen,"Agnes Nielsen, The Unknown","Mads Nielsen, Ulrich Nielsen",,,,,,NielsenFamily
Ulrich Nielsen,Tronte Nielsen,"Mikkel Nielsen / Michael Kahnwald, Magnus Nielsen, Martha Nielsen",Mads Nielsen,Katharina Nielsen,,,Hannah Kahnwald,NielsenFamily
Yasin Friese,,,,,,,,
