personName,travelingManifestations,timeTravelEvents
Bartosz Tiedemann,Bartosz,"BartoszTravel01_2020_1987, BartoszTravel02_1987_2020, StrangerTravel06_2020_1888"
Charlotte Doppler,"Charlotte, InfantCharlotte","CharlotteTravel01_2020_2053, ElisabethAndCharlotteTravel01_2053_2041, ElisabethAndCharlotteTravel02_2041_1971"
Claudia Tiedemann,"Claudia, OldClaudia","ClaudiaTravel01_1987_2020, ClaudiaTravel02_2020_1987, JonasTravel07_1987_2020, OldClaudiaTravel01_2053_1987, OldClaudiaTravel02_1987_1954"
Elisabeth Doppler,"Elisabeth, AdultElisabeth","BartoszTravel01_2020_1987, BartoszTravel02_1987_2020, ElisabethAndCharlotteTravel01_2053_2041, ElisabethAndCharlotteTravel02_2041_1971"
Franziska Doppler,Franziska,"BartoszTravel01_2020_1987, BartoszTravel02_1987_2020, StrangerTravel06_2020_1888"
Hannah Kahnwald,Hannah,"HannahTravel01_2020_1954, StrangerTravel04_2020_1987, StrangerTravel05_1987_2020"
Hanno Tauber,Noah,NoahTravel01_2020_1920
Helge Doppler,"OldHelge, YoungHelge","OldHelgeTravel01_2019_1986, YoungHelgeTravel01_1953_1986, YoungHelgeTravel02_1986_1954"
Jonas Kahnwald,"Adam, Jonas_2019, TheStranger","AdamTravel01_1921_2020, AdamTravel02_2053_2020, AdamTravel03_2020_2019, AdamTravel04_2019_2052, JonasFinalTravel01_2019_1986, JonasFinalTravel02_1986_1971, JonasTravel01_2019_1986, JonasTravel02_1986_2019, JonasTravel03_2019_1986, JonasTravel04_1986_2052, JonasTravel05_2053_1921, JonasTravel06_1921_2019, JonasTravel07_1987_2020, JonasTravel08_2020_2019, JonasTravel09_2019_2052, JonasTravel10_2052_2019, StrangerTravel01_2052_2019, StrangerTravel02_2019_1986, StrangerTravel03_1986_2019, StrangerTravel04_2020_1987, StrangerTravel05_1987_2020, StrangerTravel06_2020_1888"
Katharina Nielsen,Katharina,KatharinaTravel01_2020_1987
Magnus Nielsen,Magnus,"BartoszTravel01_2020_1987, BartoszTravel02_1987_2020, StrangerTravel06_2020_1888"
Martha Nielsen,Martha_2019_AdamWorld,"BartoszTravel01_2020_1987, BartoszTravel02_1987_2020"
Martha Nielsen,Martha_2019_EvaWorld,"JonasFinalTravel01_2019_1986, JonasFinalTravel02_1986_1971, JonasTravel08_2020_2019, JonasTravel09_2019_2052, JonasTravel10_2052_2019, MarthaTravel01_2019_1888, MarthaTravel02_1888_2053"
Mikkel Nielsen / Michael Kahnwald,Mikkel_2019,MikkelTravel_2019_1986
Ulrich Nielsen,Ulrich,UlrichTravel01_2019_1953
